date,minimum,maximum,range,mean,std
2022-10-31,18.0001392365,19.4337081909,1.43356895447,18.8389957098,0.37871863338
2022-11-01,17.7002086639,19.5987472534,1.89853858948,18.8460655448,0.548890066515
2022-11-02,18.500213623,20.3987846375,1.8985710144,19.7171992019,0.555574720977
2022-11-03,16.3000984192,17.5826740265,1.2825756073,16.9069738565,0.272223783524
2022-11-04,16.7002773285,19.1983680725,2.49809074402,18.2156156493,0.706785456064
2022-11-05,18.0003032684,20.6982555389,2.69795227051,19.6554942484,0.765080264197
2022-11-06,17.7001895905,19.398891449,1.69870185852,18.7281152348,0.487584760586
2022-11-07,17.4002056122,19.1988658905,1.79866027832,18.5895972899,0.531670639948
2022-11-08,16.600107193,17.8308868408,1.23077964783,17.2542749629,0.292955716564
2022-11-09,19.6001243591,20.7018928528,1.10176849365,20.2810734878,0.313921182474
2022-11-10,20.9003219604,23.7980995178,2.89777755737,22.6447245574,0.82146923701
2022-11-11,21.3001251221,22.499174118,1.19904899597,21.9459562831,0.359767390927
2022-11-12,22.2001190186,23.2992649078,1.09914588928,22.8289047229,0.320433364226
2022-11-13,20.0001926422,21.6989135742,1.69872093201,21.099629567,0.495179089521
2022-11-14,16.9001998901,18.6988372803,1.79863739014,18.0436537648,0.528006264146
2022-11-15,16.6001243591,17.6992988586,1.09917449951,17.3139788486,0.320608893376
2022-11-16,16.4001197815,17.499288559,1.09916877747,17.0903793382,0.321558684113
2022-11-17,18.4001426697,19.6991519928,1.29900932312,19.1958646127,0.369825285166
2022-11-18,15.1001348495,16.2992248535,1.19909000397,15.8439061642,0.345825265252
2022-11-19,13.3001699448,14.7990503311,1.49888038635,14.2908593872,0.450788339212
2022-11-20,15.9001712799,17.3990573883,1.4988861084,16.9015042811,0.450988152639
2022-11-21,16.4001312256,17.5992107391,1.19907951355,17.1210303189,0.343542512931
2022-11-22,17.1000671387,17.7360420227,0.635974884033,17.4877409935,0.175067787059
2022-11-23,18.4325904846,19.0999565125,0.667366027832,18.9765175301,0.137000377398
2022-11-24,17.1001243591,18.2096157074,1.10949134827,17.7805537824,0.313867176969
2022-11-25,16.8001747131,18.539522171,1.73934745789,17.8013577461,0.440345260232
2022-11-26,17.7003192902,20.5980892181,2.89776992798,19.4146898234,0.822343113062
2022-11-27,14.6192483902,15.4999856949,0.880737304688,15.3524154675,0.148809992203
2022-11-28,14.9001874924,16.5988807678,1.69869327545,15.9124846252,0.486361011948
2022-11-29,14.4002017975,16.1988353729,1.79863357544,15.5090185154,0.514416119492
2022-11-30,11.1863861084,11.9471330643,0.760746955872,11.635716194,0.114308984439
2022-12-01,14.200217247,16.0988025665,1.89858531952,15.449851404,0.566512308741
2022-12-02,13.1002016068,14.8988332748,1.79863166809,14.2044614009,0.514420440187
2022-12-03,15.3001766205,16.8989505768,1.5987739563,16.2391645143,0.459126098842
2022-12-04,15.3002128601,17.1987743378,1.89856147766,16.4919990169,0.543625194333
2022-12-05,13.800157547,15.1991033554,1.39894580841,14.6998991966,0.423214559015
2022-12-06,16.8001689911,18.2990379333,1.49886894226,17.7530221704,0.428590221724
2022-12-07,16.7001628876,18.1990032196,1.49884033203,17.5954418653,0.429803575089
